route_no,ridership_total,rank
300,3926441,1
600,2615530,2
640,1785462,3
250,1362439,4
772,822652,5
450,462843,6
190,409218,7
T789,362440,8
420,351808,9
202,296320,10
821,284755,11
T250,269277,12
751,243652,13
770,211835,14
T201,209014,15
251,176059,16
171,151215,17
T302,141177,18
650,137122,19
T504,120745,20
220,107302,21
T640,100557,22
641,99635,23
T304,99033,24
771,96487,25
180,95232,26
170,93502,27
580,91901,28
T790,91351,29
T787,91215,30
T301,91125,31
200,91048,32
173,90247,33
T781,83361,34
191,78884,35
T774,75340,36
581,74557,37
T509,69869,38
400,69463,39
T850,66029,40
222,63387,41
T783B,62663,42
T300,59794,43
T450,59467,44
602,55070,45
T782,54216,46
590,54127,47
T780,53186,48
T774B,52654,49
T786B,51556,50
T600,50980,51
201,50643,52
T603,50386,53
750,50035,54
T407,47349,55
802,46447,56
T511,44922,57
T788,44871,58
302,43725,59
T569,43497,60
T604,42425,61
T791,41755,62
402,40851,63
T203B,39813,64
T200,38987,65
DS01,36424,66
851,34497,67
MAHA1,32545,68
T580,32435,69
782,31678,70
DS01(PM),31039,71
T778B,30842,72
T406,30809,73
T786,29403,74
540,29232,75
T715,29192,76
T605,29163,77
T776,27903,78
T582B,27707,79
T581,27294,80
T602,26593,81
752,26131,82
708,25181,83
652,25056,84
T350,24235,85
780,24046,86
T221B,23928,87
T601,23652,88
651,22590,89
T506,21864,90
T753,19305,91
753,18576,92
783,18057,93
T785B,17860,94
T507,17479,95
T783,16940,96
T754,16595,97
T756,16454,98
T505,16240,99
T757B,15999,100
100,15981,101
T351,15631,102
T571,15411,103
151,15262,104
T778,14694,105
T512,14350,106
T545,11472,107
421,10842,108
T582,8862,109
541,7530,110
T406B,7429,111
T510,7394,112
T224,6700,113
T223,6649,114
754,6117,115
T568,5757,116
506,4974,117
822,4298,118
500,4287,119
BET16,4104,120
T221,4059,121
T508,3767,122
T203,3476,123
303,3365,124
T303,3254,125
T567,2906,126
401,2472,127
253,2242,128
801,2229,129
T785,2127,130
T566,2072,131
254,1831,132
T222,1750,133
T202,1654,134
301,1629,135
T251,1480,136
601,964,137
PAVILION BUKI,959,138
P105,726,139
P106,506,140
BET17,422,141
T757,333,142
PJ01,228,143
MS01,126,144
Subang HQ,113,145
T543,111,146
P102,102,147
T559,93,148
T120,71,149
T542,67,150
P108,61,151
P103,34,152
AJ03,25,153
P101,21,154
T562,19,155
SU13A,13,156
451,12,157
KLG2A,10,158
SEWA1,10,159
AJ2A,8,160
PBD1,7,161
SA08,5,162
SA01,5,163
SJ01,4,164
SA03,3,165
PTPM,3,166
SA06,2,167
SEWA3,2,168
SEWA 2,1,169
SA04,1,170
SA02,1,171
KJ03,1,172
HLB1,1,173
GP03,1,174